Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
628,First Kid (1996) ,"https://m.media-amazon.com/images/M/MV5BNmM1ZjAzODMtMjQ3NS00NmQ4LWI4OWMtYzk4ZWM4MGY2ZDcxXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_UX182_CR0,0,182,268_AL_.jpg",5.2,PG,1h 41min," 30 August 1996 (USA)
    ",David Mickey Evans,"Sinbad,Brock Pierce,Blake Boyd",," Family, Comedy","    Luke Davenport is the thirteen-year-old son of Paul Davenport, the President of the United States, and first lady Linda Davenport. Ill tempered Agent Woods is the secret service agent in charge of Luke. Woods is fired after mistreating Luke in front of the press. Woods is then replaced by former boxer Sam Simms, who won a boxing title in 1977. Sam is eager to take the job - even though no one else wants it. Everyone thinks that Luke is just a brat when the only thing Luke wants is to just fit in and be like every other kid at his school, the Georgetown Academy. Sam almost gets fired when Luke gets decked at school by school bully Rob MacArthur. This is when Sam decides to use his boxing expertise to teach Luke how to fight. Luke has his eyes on class-mate Katie Warren, but so does Rob. Katie agrees to go with Luke to an upcoming school dance, so Sam teaches Luke how to dance. Rob is also at the dance, but this time when Rob tries to deck Luke, Luke turns the tables and decks Rob. Sam ..."
629,The Funeral (1996) ,"https://m.media-amazon.com/images/M/MV5BMmUwYmQ3ZmItM2RmZi00OWZhLWFmMjktZjgxNDgxYzdmNDE5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 39min," Das Begräbnis
      ",Abel Ferrara,"Christopher Walken,Chris Penn,Annabella Sciorra",," Crime, Drama","    In the 30's, in New York, the coffin of the leftist gangster Johnny Tempio is brought to the house of his older brother Ray for the wake of family and friends. Ray is a cold gangster that likes to read and is married to Jean. His brother Chez is a hot head that runs a bar and is married to Clara . Ray decides to revenge the murder of his younger brother and believes the gangster Gaspare is the one who killed Johnny. Meanwhile Chez has a breakdown with tragic consequences for the Tempio brothers."
630,The Preacher's Wife (1996) ,"https://m.media-amazon.com/images/M/MV5BOWFiMGMzYmYtMGZjNy00ZWVkLTllMjAtMTQ2NmU1OWVhMjkxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,PG,2h 3min," Ask melegi
      ",Penny Marshall,"Denzel Washington,Whitney Houston,Courtney B. Vance","Robert Nathan,Robert E. Sherwood"," Comedy, Drama, Fantasy, Romance","    Good natured Reverend Henry Biggs finds that his marriage to choir mistress Julia is flagging, due to his constant absence caring for the deprived neighborhood they live in. On top of all this, his church is coming under threat from property developer Joe Hamilton. In desperation, Rev. Biggs prays to God for help - and help arrives in the form of an angel named Dudley. However, Dudley's arrival seems to cause even more trouble..."
631,Paradise Road (1997) ,"https://m.media-amazon.com/images/M/MV5BZWJhODI4NWQtOWFkMy00YTA4LWIyNTktZjMzYjA4OTlhMjk5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,R,2h 2min,"
",Bruce Beresford,"Glenn Close,Frances McDormand,Pauline Collins","David Giles,Martin Meader"," Drama, History, War","    The group of women from different countries and social levels are prisoners in a Japanese POW camp, where one of them, Adrienne, who is a graduate of the Royal Academy of Music, organizes a vocal band in spite of their guards resistance."
632,Brassed Off (1996) ,"https://m.media-amazon.com/images/M/MV5BY2Y5NDU2MmYtOGZiYy00MTAyLTgyYTctZGU2YjQ0YzQ3NDllXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,R,1h 48min," Tocando el viento
      ",Mark Herman,"Pete Postlethwaite,Tara Fitzgerald,Ewan McGregor",," Comedy, Drama, Romance","    In existence for a hundred years, Grimley Colliery Brass band is as old as the mine. But the miners are now deciding whether to fight to keep the pit open, and the future for town and band looks bleak. Although the arrival of flugelhorn player Gloria injects some life into the players, and bandleader Danny continues to exhort them to continue in the national competition, frictions and pressures are all too evident. And who's side is Gloria actually on?"
633,A Thousand Acres (1997) ,"https://m.media-amazon.com/images/M/MV5BZjcyNzJiMDMtNjhmOS00ZDEzLTg1OGItNDgyNmE2OGFiOTRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,1h 45min," En lo profundo del corazón
      ",Jocelyn Moorhouse,"Michelle Pfeiffer,Jessica Lange,Jennifer Jason Leigh",Jane Smiley, Drama,"    A THOUSAND ACRES is a drama about an American family who meets with tragedy on their land. It is the story of a father, his daughters, and their husbands, and their passion to subdue the history of their land and its stories."
634,A Smile Like Yours (1997) ,"https://m.media-amazon.com/images/M/MV5BMDMyMWQxZDAtMjE1Yi00ZDAzLWE1MjQtZWQwYjNmNmIyZTYyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",4.8,R,1h 38min," Una sonrisa como la tuya
      ",Keith Samples,"Greg Kinnear,Lauren Holly,Joan Cusack",Kevin Meyer," Comedy, Romance","    A childless couple attempting to conceive discover that his sperm are ""lazy"". Several trips to a fertility clinic prove fruitless. Also, the wife had surreptitiously quit taking the pill and provided her doctor with a sperm sample before the husband agreed to start trying to have a baby. The deception alienates the husband for a time. To compound things, a female architect has the hots for the husband and lures him out of town on business at exactly the wrong time."
635,Murder in the First (1995) ,"https://m.media-amazon.com/images/M/MV5BNjQyZGI3MWUtZGY5Ny00ZDFjLThjNzItYTI3ZTNhODJhNGVkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,R,2h 2min," Asesinato en primer grado
      ",Marc Rocco,"Christian Slater,Kevin Bacon,Gary Oldman",," Drama, Thriller","    Henri Young stole five dollars from a post office and ended up going to prison - to the most famous, or infamous, prison of them all: Alcatraz. He tried to escape, failed, and spent three years and two months in solitary confinement - in a dungeon, with no light, no heat and no toilet. Milton Glenn, the assistant warden, who was given free reign by his duty-shirking superior, was responsible for Young's treatment. Glenn even took a straight razor and hobbled Young for life. After three years and two months, Young was taken out of solitary confinement and put with the rest of the prisoners. Almost immediately, Young took a spoon and stabbed a fellow prisoner in the neck, killing him. Now, Young is on trial for murder, and if he's convicted he'll go to the gas chamber. An eager and idealistic young attorney, James Stamphill, is given this impossible case, and argues before a shocked courtroom that Young had a co-conspirator. The true murderer, he says, was Alcatraz."
636,Airheads (1994) ,"https://m.media-amazon.com/images/M/MV5BMGIxNjVlMzUtMDE0ZC00OTRlLThkMGMtMWU2MWQ4ZTY1OGJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,PG-13,1h 32min," Cabezas huecas
      ",Michael Lehmann,"Brendan Fraser,Steve Buscemi,Adam Sandler",," Comedy, Crime, Music","    Three would be rockers Chazz, Rex and Pip, known as The Lone Rangers plan to play their demo on a recording company, but then they're turned down rudely. Then they decide to try the famous rock n' roll radio station, but are not accepted either. Then they decide arm themselves with squirt guns and take the station hostage for not playing their demo. But the three get more than what they have bargained for."
637,With Honors (1994) ,"https://m.media-amazon.com/images/M/MV5BMmY3NjE0N2EtZWJiMS00ZTM4LWFkOTMtZTJmMTIyZjc2YmU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,PG-13,1h 41min," Con honores
      ",Alek Keshishian,"Joe Pesci,Brendan Fraser,Moira Kelly",," Comedy, Drama","    Monty is a student, and when his computer crashes, he's left with only a single paper copy of his thesis. Frightened of losing it, he immediately rushes out to photocopy it, only to stumble and drop it down a grate. Searching the basement of the building, he discovers that it has been found by Simon, a squatter. Simon makes a deal with Monty: for every day's accomodation and food that Monty gives him, he will give a page of the thesis in return."
638,What's Love Got to Do with It (1993) ,"https://m.media-amazon.com/images/M/MV5BYmQ1Yjk3N2UtODMwMy00MDVhLTkzNDctM2ZkODZmYzdhNjk3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,R,1h 58min," Tina
      ",Brian Gibson,"Angela Bassett,Laurence Fishburne,RaéVen Kelly","Tina Turner,Kurt Loder"," Biography, Drama, Music","    Anna Mae Bullock always had a special voice. Soon after arriving in St. Louis to live with the mother who had walked out when she was small, the now teenage Anna Mae soon attracts the attention of pop group leader Ike Turner. She becomes the band's singer, his wife, and mother to his children - not all hers. In love with Ike and determined not to leave in the way her mother had, she finds herself the target of increasing violence from her unstable husband who can't see who is making the band such a success."
639,Renaissance Man (1994) ,"https://m.media-amazon.com/images/M/MV5BNDFhMzVhMWMtNGQ2ZS00YjlmLTg0ZGUtNDUzN2IxOThhZDViXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,PG-13,2h 8min," By the Book
      ",Penny Marshall,"Danny DeVito,Gregory Hines,James Remar",," Comedy, Drama",    A down-on-his-luck businessman desperately takes the only job offered - a teacher in the U.S. Army. His mission: keep a ragtag bunch of underachieving misfits from flunking out of basic training! Be on alert as this unlikely new teacher and his underdog class unexpectedly inspire each other to be all they can be!
640,Le grand bleu (1988) ,"https://m.media-amazon.com/images/M/MV5BOTg5NGE1MjYtZjU3Zi00NWZhLTg4ZmEtMDI0YzMwN2Y2NDIxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",7.6,PG,2h 48min," The Big Blue
      ",Luc Besson,"Jean-Marc Barr,Jean Reno,Rosanna Arquette","Luc Besson,Luc Besson"," Adventure, Drama, Sport","    Enzo and Jacques have known each other for a long time. Their friendship started in their childhood days in the Mediterranean. They were not real friends in these days, but there was something they both loved and used to do the whole day long: diving. One day Jacques' father, who was a diver too, died in the Mediterranean sea. After that incident Enzo and Jacques lost contact. After several years, Enzo and Jacques had grown up, Johanna, a young clerk in an insurance office, has to go to Peru. There she meets Jacques who is being studied by a group of scientists. He dives for some minutes into ice-cold water and the scientists monitor his physical state that is more like a dolphin than human. Johanna can not believe what she sees and gets very interested in Jacques but she's unable to get acquainted with him. Some weeks later back in her office, she finds out that Jacques will be competing in a diving championship that takes place in Taormina, Sicily. In order to see Jacques again she ..."
641,Booty Call (1997) ,"https://m.media-amazon.com/images/M/MV5BMTk2NTgwODY2M15BMl5BanBnXkFtZTYwNDk4OTE5._V1_UY268_CR2,0,182,268_AL_.jpg",5.4,R,1h 19min," Allo Baba
      ",Jeff Pollack,"Jamie Foxx,Tommy Davidson,Vivica A. Fox",Takashi Bufford," Comedy, Romance","    Bunz and Rushon are two best buddies who are looking forward to dating two ladies, Lysterine and Nikki. When the two boys get their lives altogether, they all fall in love. But will their lives stay peaceful?"
642,How to Make an American Quilt (1995) ,"https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,PG-13,1h 57min," Recuerdos de amores pasados
      ",Jocelyn Moorhouse,"Winona Ryder,Ellen Burstyn,Anne Bancroft",Whitney Otto," Comedy, Drama, Romance","    Finn is a young graduate student, finishing a master's thesis, and preparing for marriage to her fiance Sam. But thoughts of the end of the free life, and a potential summer fling, intrude. She goes home to her grandmother, where, over the making of her wedding gift by a group of quilting-bee friends, laughter, bickering, love, and advice lead her toward a more open-eyed examination of her course."
643,Georgia (1995) ,"https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 55min," Джорджия
      ",Ulu Grosbard,"Jennifer Jason Leigh,Mare Winningham,Ted Levine",," Drama, Music","    Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems. Georgia lives a very ordered life with husband, house and children, and Sadie does everything to get her attention."
644,The Indian in the Cupboard (1995) ,"https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",6,PG,1h 36min," La llave mágica
      ",Frank Oz,"Hal Scardino,Litefoot,Lindsay Crouse",Lynne Reid Banks," Drama, Family, Fantasy","    Omri (Hal Scardino), a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother Jane (Linsday Crouse), and a tiny plastic model of an Indian from his best friend Patrick (Rishi Bhat). Putting them all together, Omri locks the Indian inside the cabinet, only to be awoken by a strange sound in the middle of the night. Omri opens the cabinet to discover that the tiny Indian has come to life; it seems that he's called Little Bear (Litefoot), and he claims to have learned English from settlers in 1761. Omri hides this remarkable discovery from his mother but shares it with Patrick; as an experiment, Patrick locks a toy cowboy into the cupboard, and soon Little Bear has a companion, Boone (David Keith), though predictably, the cowboy and the Indian don't get along well at first. Omri comes to the realizations that his living and breathing playthings are also people with lives of ..."
645,Blue in the Face (1995) ,"https://m.media-amazon.com/images/M/MV5BMzMzMTBjMzQtNGVmZS00MTg2LTgyNGYtZDRjNDIzMDJiNzY4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg",6.7,R,1h 23min," 13 October 1995 (USA)
    ","Paul Auster,Wayne Wang,1 more credit","Harvey Keitel,Lou Reed,Michael J. Fox",Paul Auster, Comedy,"    Wayne Wang's follow-up movie to Smoke (1995) presents a series of improvisational situations strung together to form a pastiche of Brooklyn's diverse ethnicity, offbeat humor, and essential humanity. Many of the same characters inhabiting Auggie Wren's Brooklyn Cigar Store in Smoke (1995) return here to expound on their philosophy of smoking, relationships, baseball, New York City, and Belgian Waffles. Most of all, this is a movie about living life, off-the-cuff."
646,Unstrung Heroes (1995) ,"https://m.media-amazon.com/images/M/MV5BNGI4YWI4YmYtZTAyMS00NGE0LThlMDUtNmQ1OTcyMGUwNTM1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,PG,1h 33min," Entfesselte Helden
      ",Diane Keaton,"Andie MacDowell,John Turturro,Michael Richards",Franz Lidz," Comedy, Drama","    Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home even though he is finally happy and popular."
647,Before Sunrise (1995) ,"https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",8.1,R,1h 41min," Antes del amanecer
      ",Richard Linklater,"Ethan Hawke,Julie Delpy,Andrea Eckert",Richard Linklater," Drama, Romance","    American tourist Jesse and French student Celine meet by chance on the train from Budapest to Vienna. Sensing that they are developing a connection, Jesse asks Celine to spend the day with him in Vienna, and she agrees. So they pass the time before his scheduled flight the next morning together. How do two perfect strangers connect so intimately over the course of a single day? What is that special thing that bonds two people so strongly? As their bond turns to love, what will happen to them the next morning when Jesse flies away?"
648,Nobody's Fool (1994) ,"https://m.media-amazon.com/images/M/MV5BMjg0YzYzYzktNTY3NC00MDE0LThjMzYtMmY0MWZlNDdiYWY2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR1,0,182,268_AL_.jpg",7.4,R,1h 50min," Las cosas de la vida
      ",Robert Benton,"Paul Newman,Bruce Willis,Jessica Tandy",Richard Russo," Comedy, Drama","    Sully is a rascally ne'er-do-well approaching retirement age. While he is pressing a worker's compensation suit for a bad knee, he secretly works for his nemesis Carl, and flirts with Carl's young wife Toby. Sully's long-forgotten son and his family have moved back to town, so Sully faces unfamiliar family responsibilities. Meanwhile, Sully's landlady's banker son plots to push through a new development and evict Sully from his mother's life."
649,Dazed and Confused (1993) ,"https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg",7.6,R,1h 42min," Rebeldes y confundidos
      ",Richard Linklater,"Jason London,Wiley Wiggins,Matthew McConaughey",, Comedy,"    It's the last day of school at a high school in a small town in Texas in 1976. The upperclassmen are hazing the incoming freshmen, and everyone is trying to get stoned, drunk, or laid, even the football players that signed a pledge not to."
650,Ruby in Paradise (1993) ,"https://m.media-amazon.com/images/M/MV5BYzE2NDVmMDEtOWI5Yi00OWZmLWE1MGYtZTJiNTgzNTkzOWM5XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX182_CR0,0,182,268_AL_.jpg",7,R,1h 54min," La Ruby al paradís
      ",Victor Nunez,"Ashley Judd,Todd Field,Bentley Mitchum",Jane Austen," Drama, Romance","    Ruby, a young woman, arrives in a Florida resort town during the off season to make a fresh start. She gets work as a sales clerk in a souvineer shop run by Mildred Chambers. She dates, and sleeps with, Ricky Chambers, Mildred's conceited son, but breaks off with him when she finds she's just another conquest. She gets involved with Mike, a left-wing greenhouse worker. As the seasons change, Ruby's relationships with others and herself go through metamorphoses as she makes choices and discoveries establishing her own identity. A character study."
651,A Month by the Lake (1995) ,"https://m.media-amazon.com/images/M/MV5BYjk3YjVmZGYtMjk3OC00OTg2LWFkNzMtMDFkYjJkOWIzNzkyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.2,PG,1h 32min," Amor à Beira do Lago
      ",John Irvin,"Vanessa Redgrave,Edward Fox,Uma Thurman","H.E. Bates,Trevor Bentham"," Comedy, Drama, Romance","    For 16 years Miss Bentley has been spending April at an elegant hillside villa on Lake Como. This year, 1937, her London society artist father has recently died and the only other English-speaking guests are brash Americans. Then Major Wilshaw arrives. He suggests they meet for cocktails and Miss Bentley stands him up -- not even thinking about it -- as she helps the new nanny of an Italian family settle in. Miss Beaumont, a tall, young American who has dropped out of finishing school in Switzerland, is bored and finds some amusement in flirting with the major, whose libido is awakened for the first time since before the great war. And Miss Bentley now finds more about the major to admire than his ears."
652,Hear My Song (1991) ,"https://m.media-amazon.com/images/M/MV5BOTZiYjk2OGUtMzU2MS00OGM0LWJhMWMtZmFmNzg1MGZkMGU5XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY268_CR0,0,182,268_AL_.jpg",7,R,1h 53min," Akouste to tragoudi mou
      ",Peter Chelsom,"Ned Beatty,Adrian Dunbar,Brian Flanagan","Peter Chelsom,Peter Chelsom"," Comedy, Drama, Music",    Owner of a failing club seeks infamous Irish singer Josef Locke in order to bring business and success to his club
653,Mediterraneo (1991) ,"https://m.media-amazon.com/images/M/MV5BMDE0MmU5OTItZTVlMi00Y2U4LWE5YTgtNzVlMGJhODkyY2I0XkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UY268_CR2,0,182,268_AL_.jpg",7.5,R,1h 36min," Mediterráneo
      ",Gabriele Salvatores,"Diego Abatantuono,Claudio Bigagli,Giuseppe Cederna",," Comedy, Drama, War","    Greek Sea, World War II. An Italian ship leaves a handful of soldiers on a little island; their mission is to spot enemy ships and to hold the island in case of attack. The village of the island seems abandoned and there isn't a single enemy in sight, so the soldiers begin to relax a little. Things change when their ship is hit and destroyed by the enemy, and the soldiers find themselves abandoned there. Actually, the island isn't deserted and when the Greeks understand that those Italians are harmless, they come out of their hiding places in the mountains and continue their peaceful lives. Soon the soldiers discover that being left behind in a God-forgotten Greek island isn't such a bad thing, after all..."
654,Eye for an Eye (1996) ,"https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,R,1h 41min," Ojo por ojo
      ",John Schlesinger,"Sally Field,Kiefer Sutherland,Ed Harris","Erika Holzer,Amanda Silver"," Crime, Drama, Thriller","    Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob, the perpetrator, is dismissed because of a technicality, she starts following him and sees how he checks out his next victim, a woman he delivers groceries to. She tells the police, but is only warned she must stop following Doob. When she tries to warn the woman, she is shooed out of the house. Doob, having found out that Karen is following him, threatens to do something to her youngest daughter. She then seeks help from a group of vigilantes connected to a support group, in order to shoot Doob. However, a friend from the support group turns out to be an FBI agent investigating the very vigilante activity Karen is involved in and warns her that she will go to jail for the rest of her life unless it is self-defense. In the meantime, tension grows between Karen and her husband Mack, because he finds out she has secretly been taking self-defense classes and has been ..."
655,Fear (1996) ,"https://m.media-amazon.com/images/M/MV5BZTM4ZmJmMTQtMWUxOS00MjQxLTllNmQtNzI4YWVhYzZlNTRkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,R,1h 37min," Strah
      ",James Foley,"Mark Wahlberg,Reese Witherspoon,William Petersen",," Drama, Thriller","    Nicole walker is the average 16 year old girl; wants to have fun, and dreams of her Prince Charming. When her and her best friend Margot appear at a party, she meets older bad boy David. Everything seems to be going so well and Nicole and David become a couple. Nicole's family like David and she decides she loves him enough to give herself to him one night after a date. However, as soon as they became official, David has become a possessive and jealous boyfriend. He even beats up one of Nicole's close male friends when he is seen giving her a hug at the end of school. After this dark event Nicole never wants to see David again but he tries his hardest to make sure Nicole will take him back. Soon enough she forgives him and things seem to be going well again until a sick situation involving Nicole's best friend Margot turns to her and David breaking up again. This time David is not taking any chances with not being with Nicole so him and his friends go into her family home and attempt ..."
656,Solo (1996) ,"https://m.media-amazon.com/images/M/MV5BNTllNjc5NDQtNGM5Yi00ZmE0LWEzOTEtZGUzY2E0YjE4YWQzXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",4,PG-13,1h 34min," Solo, el destructor
      ",Norberto Barba,"Mario Van Peebles,William Sadler,Barry Corbin",Robert Mason," Action, Sci-Fi, Thriller","    Mario Van Peebles stars as an android killing weapon designed by the military and utilized to enter into a Latin American war to destroy the rebels - natives fighting simply to maintain their freedom. Contrary to his programming, he develops an affinity for the villagers and decides to help them fight back. This lets his creators bring him back and ultimately leads to one of them being given more powerful circuitry to defeat him."
657,The Substitute (1996) ,"https://m.media-amazon.com/images/M/MV5BNDU4MWVhMzctOTc4Zi00NzAwLTliYTItYzU4MmYyN2M1NTYyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6,R,1h 54min," El sustituto
      ",Robert Mandel,"Tom Berenger,Raymond Cruz,William Forsythe","Roy Frumkes,Rocco Simonelli"," Action, Crime, Drama, Thriller","    After a botched mission in Cuba, professional mercenary Shale and his crew Joey Six, Hollan, Rem, and Wellman head home to Miami, Florida, where Shale is reunited with his fiance Jane Hetzko, who is a history teacher at Columbus High School in Miami. Some of Jane's students happen to be members of a street gang known as the ""Kings of Destruction"" (KOD), led by Juan Lacas, who has been terrorizing Jane. After Jane's kneecap is broken by a big seminole named Bull, she tells Shale that she believes Lacas ordered the attack, so Shale goes undercover as Jane's substitute, and initially, Jane has no idea that Shale is doing this. At the school, Shale meets principal Claude Rolle, librarian Hannah Dillon, and english and drama teacher Darrell Sherman. It turns out that Lacas is one of Jane's students. As Shale investigates the attack on Jane, he discovers that drugs are being circulated into the school. Shale even investigates local drug kingpin Johnny Glades, who may or may not have someone..."
658,Heaven's Prisoners (1996) ,"https://m.media-amazon.com/images/M/MV5BNDEyZjRhMDEtYmU1Ni00OWI3LTk1NDEtYmE2ZWE3MDEyMGFlL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.8,R,2h 12min," Mississippi Delta
      ",Phil Joanou,"Alec Baldwin,Kelly Lynch,Mary Stuart Masterson","James Lee Burke,Harley Peyton"," Drama, Mystery, Thriller","    Ex-detective Dave Robicheaux has made a new life for himself and his wife Annie running a bait shop in the outskirts of New Orleans. When they save a little girl, the sole survivor of a plane crash, their lives become forever changed. They take the orphan child into their home and prepare to raise her. However, a visit from DEA agent Dautrieve brings out the detective instincts in Robicheaux and he begins to ask about the rest of the passengers. This brings trouble to Robicheaux and he turns to drug lord Bubba Rocque, a childhood friend. But the friendship becomes estranged when an assault on the Robicheaux home leaves one victim...Annie."
659,Mother Night (1996) ,"https://m.media-amazon.com/images/M/MV5BMDA0OGI4ODctMzRkOC00NzI0LWEyZmYtODU1NmM5MzYxOWYwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,R,1h 54min," 1 November 1996 (USA)
    ",Keith Gordon,"Nick Nolte,Sheryl Lee,Anthony J. Robinow",Kurt Vonnegut Jr.," Drama, Romance, War","    Howard W. Campbell, Jr., an American expatriate playwright, Nazi radio propagandist, and Allied spy, writes his memoirs during his pre-trial confinement in 1961 Haifa and learns that people are what they pretend to be."
660,Dangerous Ground (1997) ,"https://m.media-amazon.com/images/M/MV5BN2Y3Njc2YWEtYTBmNC00Y2VlLTk4NWYtODQxMGRmNDRjNmJhXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX182_CR0,0,182,268_AL_.jpg",4.5,R,1h 35min," A visszatérés
      ",Darrell Roodt,"Ice Cube,Elizabeth Hurley,Thokozani Nkosi",Greg Latter," Action, Crime, Drama, Thriller","    Vusi Madlazi returns to the South African village he left as a young boy (he was organizing against apartheid, and left in fear of his life) to bury his father. He meets up with his brother Ernest, who tells him their other brother Stephen couldn't be contacted. Vusi goes to Johannesburg to find him, but at first can only find his neighbor/girlfriend, Karin, a stripper. Vusi proceeds to learn how conditions have changed since the end of apartheid, not always for the better for black men."
661,Maximum Risk (1996) ,"https://m.media-amazon.com/images/M/MV5BMzY5ZWQ0OTMtZjdiYy00YzhmLTg5MDAtMzRlMTllMDliMDJkXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.5,R,1h 41min," Bloodstone
      ",Ringo Lam,"Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade",," Action, Crime, Mystery, Romance, Thriller","    A policeman finds out that he had a twin brother who was killed in a violent altercation. He takes his twin brother's place, inheriting his problems and his girlfriend, determined to expose corruption and collusion between the FBI and the Russian mafia."
662,The Rich Man's Wife (1996) ,"https://m.media-amazon.com/images/M/MV5BMTI5Njg3ZjUtZDg3YS00NDg5LThlNzQtYjI2OTA4NzQzOTYyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.2,R,1h 35min," A gazdagság ára
      ",Amy Holden Jones,"Halle Berry,Christopher McDonald,Peter Greene",, Thriller,"    A rich man's wife finds she has a bad prenuptial agreement with an even worse husband. Over drinks with a stranger, she fantasizes about doing her husband in to void the prenupt. The stranger decides to turn her imagination into reality much to the wife's surprise."
